駐	チュウ
無	ム; ない
満	マン
向	コウ; むこう; むかう; むき
禁	キン
関	カン
係	ケイ; かかり
断	ダン; ことわる
横	オウ; よこ
押	おす; おさえる
式	シキ
信	シン
号	ゴウ
確	カク; たしか; たしかめる
認	ニン; みとめる
飛	ヒ; とぶ
非	ヒ
常	ジョウ
階	カイ
段	ダン
箱	はこ
危	キ; あぶない
険	ケン
捨	すてる
線	セン
面	メン
普	フ
各	カク
次	ジ; つぎ
快	カイ
速	ソク; はやい
過	カ; すぎる
鉄	テツ
指	シ; ゆび
定	テイ
席	セキ
由	ユウ
番	バン
窓	まど
側	かわ
路	ロ
停	テイ
整	セイ
券	ケン
現	ゲン; あらわれる
両	リョウ
替	かえる
優	ユウ; やさしい
座	ザ; すわる
降	コウ; おりる; ふる
未	ミ
末	マツ
若	わかい
晩	バン
島	トウ; しま
皿	さら
血	ケツ; ち
助	ジョ; たすける
準	ジュン
備	ビ; そなえる
営	エイ
閉	ヘイ; しまる; しめる
案	アン
内	ナイ; うち
予	ヨ
約	ヤク
煙	エン; けむり
当	トウ; あたる
全	ゼン
客	キャク
様	ヨウ; さま
解	カイ
協	キョウ
願	ねがう
観	カン
園	エン
港	コウ; みなと
遊	ユウ; あそぶ
美	ビ; うつくしい
術	ジュツ
神	シン; ジン; かみ
寺	ジ; てら
役	ヤク
郵	ユウ
局	キョク
交	コウ
差	サ; さす
点	テン
橋	キョウ; はし
公	コウ
受	ジュ; うける
付	つける; つく
科	カ
鼻	ビ; はな
婦	フ
形	ケイ; ギョウ; かたち
骨	コツ; ほね
折	セツ; おる; おれる
困	こまる
消	ショウ; きえる; けす
防	ボウ; ふせぐ
救	キュウ; すくう
警	ケイ
察	サツ
故	コ
伝	デン; つたえる
黄	き
絵	カイ; エ
組	くみ; くむ
束	ソク; たば
授	ジュ
渡	わたる; わたす
昔	むかし
要	ヨウ; いる
冷	レイ; つめたい; ひやす; ひえる; さめる; さます
蔵	ゾウ
凍	トウ; こおる
庫	コ
召	めす
保	ホ
存	ゾン
必	ヒツ; かならず
費	ヒ
期	キ
限	ゲン; かぎる
製	セイ
造	ゾウ; つくる
賞	ショウ
法	ホウ
温	オン; あたたかい
販	ハン
機	キ
増	ゾウ; ふえる; ふやす
減	ゲン; へる; へらす
量	リョウ
氷	こおり
返	ヘン; かえす
湯	ゆ
材	ザイ
卵	たまご
乳	ニュウ
粉	こな; コ
袋	ふくろ
混	コン; まぜる
焼	やく; やける
表	ヒョウ; おもて; あらわす
裏	うら
留	リュウ; ル; とめる
守	シュ; ス; まもる
濃	こい
薄	うすい
部	ブ
数	スウ; かず; かぞえる
件	ケン
再	サイ
接	セツ
続	ゾク; つづく; つづける
示	ジ; しめす
戻	もどる; もどす
完	カン
了	リョウ
登	トウ; ト; のぼる
録	ロク
育	イク; そだつ; そだてる
種	シュ; たね
類	ルイ
師	シ
妻	サイ; つま
馬	バ; うま
石	セキ; いし
砂	サ; すな
塩	エン; しお
油	ユ; あぶら
緑	リョク; みどり
紅	コウ; べに
冊	サツ
個	コ
枚	マイ
告	コク
利	リ
割	わる; われる
倍	バイ
値	ね
商	ショウ
支	シ
払	はらう
米	ベイ; こめ
級	キュウ
残	ザン; のこる; のこす
型	かた
税	ゼイ
込	こむ
価	カ
格	カク
申	シン; もうす
記	キ
例	レイ; たとえる
齢	レイ
歳	サイ
性	セイ
連	レン; つれる
絡	ラク
届	とどける; とどく
宅	タク
配	ハイ; くばる
希	キ
望	ボウ; のぞむ
荷	カ; に
換	カン; かえる
額	ガク
在	ザイ
取	とる
預	ヨ; あずける
衣	イ
参	サン; まいる
達	タツ
勤	キン; つとめる
帯	タイ; おび
細	ほそい; こまかい
戸	と
湖	コ; みずうみ
船	セン; ふね
角	カク; かど
夫	フ; フウ; おっと
苦	ク; くるしい; にがい
礼	レイ
伺	うかがう
遅	チ; おそい; おくれる
失	シツ
汗	あせ
念	ネン
涙	なみだ
笑	わらう; えむ
調	チョウ; しらべる
査	サ
移	イ; うつる; うつす
難	ナン; むずかしい
簡	カン
単	タン
感	カン
想	ソウ
練	レン
最	サイ; もっとも
適	テキ
選	セン; えらぶ
違	ちがう; ちがえる
直	チョク; なおる; なおす
復	フク
辞	ジ; やめる
宿	シュク; やど
昨	サク
君	クン; きみ
結	ケツ; むすぶ
婚	コン
祝	シュク; いわう
曲	キョク; まがる; まげる
奥	おく
寝	ねる
