駐車	ちゅうしゃ(parking)
駐車場	ちゅうしゃじょう(a parking lot)
無休	むきゅう(open every day / no holidays)
無理な	むりな(unreasonable / impossible)
無料	むりょう(free of charge)
無い	ない(nonexistent / not have)
満車	まんしゃ(full of cars)
不満な	ふまんな(dissatisfied)
満員	まんいん(full of people)
方向	ほうこう(direction)
向かう	むかう(go toward / head for)
向こう	むこう(over there / beyond)
〇〇向き	〇〇むき(suitable for ___)
禁止	きんし(prohibition)
関心	かんしん(interest)
関する	かんする(be related to / concerning)
関係	かんけい(relation / connection)
係	かかり(person in charge)
無断	むだん(without permission)
断る	ことわる(refuse / decline)
断水	だんすい(water outage / suspension of water supply)
横断	おうだん(crossing)
横	よこ(side / horizontal)
横断歩道	おうだんほどう(pedestrian crossing)
押す	おす(push)
押し入れ	おしいれ(closet)
押さえる	おさえる(hold down / press)
押しボタン式	おしボタンしき(push-button system)
数式	すうしき(numerical formula)
入学式	にゅうがくしき(entrance ceremony)
送信	そうしん(transmission / send)
自信	じしん(confidence)
信じる	しんじる(believe)
信用	しんよう(trust / credit)
信号	しんごう(traffic light / signal)
～号車	～ごうしゃ(car number ___ / carriage number ___)
正確な	せいかくな(correct / accurate)
確かな	たしかな(certain / sure)
確かめる	たしかめる(confirm / verify)
確認	かくにん(confirmation)
認める	みとめる(admit / approve / recognize)
飛行場	ひこうじょう(airport / airfield)
飛ぶ	とぶ(fly)
非常の	ひじょうの(emergency)
非常口	ひじょうぐち(emergency exit)
非常に	ひじょうに(extremely / very)
日常の	にちじょうの(usual / everyday)
正常な	せいじょうな(normal)
～階	～かい(floor number ___)
階段	かいだん(stairs)
箱	はこ(box)
ごみ箱	ごみばこ(trash can / garbage bin)
危険な	きけんな(dangerous)
危ない	あぶない(dangerous / risky)
危険な	きけんな(danger / dangerous)
捨てる	すてる(throw away)
線	せん(line)
～番線	～ばんせん(platform/track number ___)
全面	ぜんめん(entire surface / all sides)
〇〇方面	〇〇ほうめん(direction of ___)
画面	がめん(screen)
普通の	ふつうの(ordinary / local)
各駅	かくえき(each station)
各自	かくじ(each person)
各国	かっこく(each country)
目次	もくじ(table of contents)
次	つぎ(next)
次回	じかい(next time)
快速	かいそく(rapid train / high speed)
高速道路	こうそくどうろ(highway / expressway)
速い	はやい(fast)
速度	そくど(speed)
通過	つうか(passage / transit)
過ぎる	すぎる(pass / go past)
過去	かこ(past)
地下鉄	ちかてつ(subway / metro)
鉄	てつ(iron / steel)
鉄道	てつどう(railway)
指定	してい(specify / designation)
指	ゆび(finger)
指定席	していせき(reserved seat)
指輪	ゆびわ(ring)
定休日	ていきゅうび(regular holiday / fixed closing day)
安定	あんてい(stability)
不安定	ふあんてい(unstable)
席	せき(seat)
出席	しゅっせき(attendance)
欠席	けっせき(absence)
自由な	じゆうな(free / freedom)
理由	りゆう(reason)
自由席	じゆうせき(non-reserved seat)
番号	ばんごう(number)
～番線	～ばんせん(platform/track number ___)
～番	～ばん(number ___)
窓	まど(window)
窓口	まどぐち(ticket window / counter)
両側	りょうがわ(both sides)
窓側	まどがわ(window side)
右側	みぎがわ(right side)
通路	つうろ(passage / aisle)
線路	せんろ(railway track)
道路	どうろ(road)
停車	ていしゃ(stop a vehicle)
バス停	バスてい(bus stop)
整理	せいり(tidying / organizing)
整理券	せいりけん(numbered ticket)
駐車券	ちゅうしゃけん(parking ticket)
回数券	かいすうけん(coupon tickets / multiple-ride ticket)
乗車券	じょうしゃけん(boarding ticket)
現金	げんきん(cash)
現れる	あらわれる(appear)
表現	ひょうげん(expression)
両親	りょうしん(parents)
～両	～りょう(___ cars on a train)
取り替える	とりかえる(exchange / replace)
着替える	きがえる(change clothes)
両替	りょうがえ(currency exchange / money change)
優先席	ゆうせんせき(priority seat)
優しい	やさしい(kind / gentle)
女優	じょゆう(actress)
座席	ざせき(seat)
座る	すわる(sit down)
正座	せいざ(sitting on the floor Japanese-style)
降車口	こうしゃぐち(exit for getting off)
降りる	おりる(get off)
以降	いこう(after / from then on)
降る	ふる(fall / rain / snow)
未定	みてい(undecided / indefinite)
～未満	～みまん(less than ___)
未来	みらい(future)
週末	しゅうまつ(weekend)
年末	ねんまつ(end of the year)
月末	げつまつ(end of the month)
若い	わかい(young)
晩	ばん(evening / night)
晩ご飯	ばんごはん(dinner)
今晩	こんばん(tonight)
毎晩	まいばん(every night)
〇〇島	〇〇とう(___ Island)
島	しま(island)
皿	さら(plate)
灰皿	はいざら(ashtray)
出血	しゅっけつ(bleeding)
血	ち(blood)
救助	きゅうじょ(rescue)
助ける	たすける(help / save)
準備	じゅんび(preparation)
準備	じゅんび(preparation)
備える	そなえる(prepare / provide for)
営業	えいぎょう(business / open for business)
開閉	かいへい(opening and closing)
閉まる	しまる(close / be closed)
閉める	しめる(close / shut)
案内	あんない(information / guidance)
案	あん(plan / idea)
案内	あんない(guidance / information)
内側	うちがわ(inside)
以内	いない(within)
国内	こくない(domestic / within the country)
予定	よてい(schedule / plan)
予習	よしゅう(preparation for class / previewing)
予約	よやく(appointment / reservation)
約～	やく～(approximately ___)
禁煙	きんえん(no smoking)
煙	けむり(smoke)
本当	ほんとう(truth / really)
当たる	あたる(hit / be right)
当〇〇	とう〇〇(this ___ / the ___ in question)
当たり前	あたりまえ(natural / obvious)
全部	ぜんぶ(all)
全席	ぜんせき(all seats)
安全な	あんぜんな(safe)
客	きゃく(customer / guest)
お客様	おきゃくさま(customer / guest (polite))
様子	ようす(appearance / situation)
〇〇様	〇〇さま(Mr./Ms. ___ (polite))
理解	りかい(understanding)
解説	かいせつ(explanation)
解答	かいとう(answer)
分解	ぶんかい(decomposition / taking apart)
協力	きょうりょく(cooperation)
願う	ねがう(wish / request)
観光	かんこう(sightseeing)
観客	かんきゃく(spectator / audience)
動物園	どうぶつえん(zoo)
空港	くうこう(airport)
港	みなと(port / harbor)
〇〇港	〇〇こう(___ port)
遊園地	ゆうえんち(amusement park)
遊ぶ	あそぶ(play / hang out)
美術館	びじゅつかん(art museum)
美しい	うつくしい(beautiful)
美人	びじん(beautiful woman)
美術	びじゅつ(fine arts / art)
手術	しゅじゅつ(surgery / operation)
技術	ぎじゅつ(technique / technology)
神社	じんじゃ(shrine)
神様	かみさま(god / deity)
神経質な	しんけいしつな(nervous / sensitive)
〇〇寺	〇〇じ(___ Temple)
お寺	おてら(temple)
市役所	しやくしょ(city hall)
役員	やくいん(officer / board member)
役に立つ	やくにたつ(be useful)
郵便	ゆうびん(mail / postal service)
郵便局	ゆうびんきょく(post office)
薬局	やっきょく(pharmacy / drugstore)
交番	こうばん(police box)
交換	こうかん(exchange)
交通	こうつう(traffic / transportation)
差	さ(difference)
差し出す	さしだす(hand in / send)
差出人	さしだしにん(sender)
交差点	こうさてん(intersection)
～点	～てん(points)
点数	てんすう(score / points)
歩道橋	ほどうきょう(pedestrian bridge)
橋	はし(bridge)
公園	こうえん(park)
受信	じゅしん(receiving)
受ける	うける(receive / take)
受験	じゅけん(taking an exam)
付ける	つける(attach / put on)
受付	うけつけ(reception desk)
片付ける	かたづける(tidy up)
付く	つく(be attached / stick)
科学	かがく(science)
内科	ないか(internal medicine)
外科	げか(surgery department)
教科書	きょうかしょ(textbook)
耳鼻科	じびか(ear, nose, and throat department)
鼻	はな(nose)
婦人	ふじん(woman / lady)
主婦	しゅふ(housewife)
産婦人科	さんふじんか(obstetrics and gynecology department)
形式	けいしき(format / form)
整形外科	せいけいげか(orthopedics department)
人形	にんぎょう(doll / puppet)
図形	ずけい(diagram / figure)
形	かたち(shape / form)
骨折	こっせつ(bone fracture)
骨	ほね(bone)
右折	うせつ(right turn)
折る	おる(fold / break)
折れる	おれる(break / be folded)
左折	させつ(left turn)
折り紙	おりがみ(origami / folding paper)
困る	こまる(be in trouble / have difficulty)
消防	しょうぼう(firefighting)
消す	けす(erase / turn off / extinguish)
消える	きえる(disappear / go out)
消しゴム	けしゴム(eraser)
予防	よぼう(prevention)
防ぐ	ふせぐ(prevent / defend against)
救急車	きゅうきゅうしゃ(ambulance)
救う	すくう(save / rescue)
警官	けいかん(police officer)
警察	けいさつ(police)
警察署	けいさつしょ(police station)
事故	じこ(accident)
